,key,energy,valence
0,0,0.849,0.667
0,1,0.803,0.435
0,2,0.784,0.38
0,3,0.378,0.497
0,4,0.852,0.558
0,5,0.801,0.248
0,6,0.894,0.696
0,7,0.787,0.289
0,8,0.776,0.267
0,9,0.856,0.707
0,10,0.927,0.719
0,11,0.833,0.598
0,12,0.941,0.405
0,13,0.866,0.38
0,14,0.191,0.0684
0,15,0.687,0.652
0,16,0.951,0.139
0,17,0.917,0.601
0,18,0.899,0.566
0,19,0.806,0.561
0,20,0.823,0.569
0,21,0.725,0.397
0,22,0.766,0.473
0,23,0.945,0.14
0,24,0.709,0.559
0,25,0.455,0.561
0,26,0.903,0.497
0,27,0.332,0.778
0,28,0.829,0.747
0,29,0.713,0.741
0,30,0.799,0.627
0,31,0.849,0.667
0,32,0.849,0.667
0,33,0.803,0.435
0,34,0.803,0.435
0,35,0.784,0.38
0,36,0.784,0.38
0,37,0.378,0.497
0,38,0.378,0.497
0,39,0.852,0.558
0,40,0.852,0.558
0,41,0.801,0.248
0,42,0.801,0.248
0,43,0.894,0.696
0,44,0.894,0.696
0,45,0.787,0.289
0,46,0.787,0.289
0,47,0.776,0.267
0,48,0.776,0.267
0,49,0.856,0.707
0,0,0.856,0.707
0,1,0.927,0.719
0,2,0.927,0.719
0,3,0.833,0.598
0,4,0.833,0.598
0,5,0.941,0.405
0,6,0.941,0.405
0,7,0.866,0.38
0,8,0.866,0.38
0,9,0.191,0.0684
0,10,0.191,0.0684
0,11,0.687,0.652
0,12,0.687,0.652
0,13,0.951,0.139
0,14,0.951,0.139
0,15,0.917,0.601
0,16,0.917,0.601
0,17,0.899,0.566
0,18,0.899,0.566
0,19,0.806,0.561
0,20,0.806,0.561
0,21,0.823,0.569
0,22,0.823,0.569
0,23,0.725,0.397
0,24,0.725,0.397
0,25,0.766,0.473
0,26,0.766,0.473
0,27,0.945,0.14
0,28,0.945,0.14
0,29,0.709,0.559
0,30,0.709,0.559
0,31,0.455,0.561
0,32,0.455,0.561
0,33,0.903,0.497
0,34,0.903,0.497
0,35,0.332,0.778
0,36,0.332,0.778
0,37,0.829,0.747
0,38,0.829,0.747
0,39,0.713,0.741
0,40,0.713,0.741
0,41,0.799,0.627
0,42,0.799,0.627
0,43,0.722,0.369
0,44,0.849,0.667
0,45,0.803,0.435
0,46,0.784,0.38
0,47,0.378,0.497
0,48,0.852,0.558
0,49,0.801,0.248
0,0,0.894,0.696
0,1,0.787,0.289
0,2,0.776,0.267
0,3,0.856,0.707
0,4,0.927,0.719
0,5,0.833,0.598
0,6,0.941,0.405
0,7,0.866,0.38
0,8,0.191,0.0684
0,9,0.687,0.652
0,10,0.951,0.139
0,11,0.917,0.601
0,12,0.899,0.566
0,13,0.806,0.561
0,14,0.823,0.569
0,15,0.725,0.397
0,16,0.766,0.473
0,17,0.945,0.14
0,18,0.709,0.559
0,19,0.455,0.561
0,20,0.903,0.497
0,21,0.332,0.778
0,22,0.829,0.747
0,23,0.713,0.741
0,24,0.799,0.627
0,25,0.722,0.369
0,26,0.849,0.667
0,27,0.849,0.667
0,28,0.849,0.667
0,29,0.849,0.667
0,30,0.803,0.435
0,31,0.803,0.435
0,32,0.803,0.435
0,33,0.803,0.435
0,34,0.784,0.38
0,35,0.784,0.38
0,36,0.784,0.38
0,37,0.784,0.38
0,38,0.378,0.497
0,39,0.378,0.497
0,40,0.378,0.497
0,41,0.378,0.497
0,42,0.852,0.558
0,43,0.852,0.558
0,44,0.852,0.558
0,45,0.852,0.558
0,46,0.801,0.248
0,47,0.801,0.248
0,48,0.801,0.248
0,49,0.801,0.248
0,0,0.894,0.696
0,1,0.894,0.696
0,2,0.894,0.696
0,3,0.894,0.696
0,4,0.787,0.289
0,5,0.787,0.289
0,6,0.787,0.289
0,7,0.787,0.289
0,8,0.776,0.267
0,9,0.776,0.267
0,10,0.776,0.267
0,11,0.776,0.267
0,12,0.856,0.707
0,13,0.856,0.707
0,14,0.856,0.707
0,15,0.856,0.707
0,16,0.927,0.719
0,17,0.927,0.719
0,18,0.927,0.719
0,19,0.927,0.719
0,20,0.833,0.598
0,21,0.833,0.598
0,22,0.833,0.598
0,23,0.833,0.598
0,24,0.941,0.405
0,25,0.941,0.405
0,26,0.941,0.405
0,27,0.941,0.405
0,28,0.866,0.38
0,29,0.866,0.38
0,30,0.866,0.38
0,31,0.866,0.38
0,32,0.191,0.0684
0,33,0.191,0.0684
0,34,0.191,0.0684
0,35,0.191,0.0684
0,36,0.687,0.652
0,37,0.687,0.652
0,38,0.687,0.652
0,39,0.687,0.652
0,40,0.951,0.139
0,41,0.951,0.139
0,42,0.951,0.139
0,43,0.951,0.139
0,44,0.917,0.601
0,45,0.917,0.601
0,46,0.917,0.601
0,47,0.917,0.601
0,48,0.899,0.566
0,49,0.899,0.566
0,0,0.899,0.566
0,1,0.899,0.566
0,2,0.806,0.561
0,3,0.806,0.561
0,4,0.806,0.561
0,5,0.806,0.561
0,6,0.823,0.569
0,7,0.823,0.569
0,8,0.823,0.569
0,9,0.823,0.569
0,10,0.725,0.397
0,11,0.725,0.397
0,12,0.725,0.397
0,13,0.725,0.397
0,14,0.766,0.473
0,15,0.766,0.473
0,16,0.766,0.473
0,17,0.766,0.473
0,18,0.945,0.14
0,19,0.945,0.14
0,20,0.945,0.14
0,21,0.945,0.14
0,22,0.709,0.559
0,23,0.709,0.559
0,24,0.709,0.559
0,25,0.709,0.559
0,26,0.455,0.561
0,27,0.455,0.561
0,28,0.455,0.561
0,29,0.455,0.561
0,30,0.903,0.497
0,31,0.903,0.497
0,32,0.903,0.497
0,33,0.903,0.497
0,34,0.332,0.778
0,35,0.332,0.778
0,36,0.332,0.778
0,37,0.332,0.778
0,38,0.829,0.747
0,39,0.829,0.747
0,40,0.829,0.747
0,41,0.829,0.747
0,42,0.713,0.741
0,43,0.713,0.741
0,44,0.713,0.741
0,45,0.713,0.741
0,46,0.799,0.627
0,47,0.799,0.627
0,48,0.799,0.627
0,49,0.799,0.627
0,0,0.722,0.369
0,1,0.849,0.667
0,2,0.744,0.277
0,3,0.894,0.65
0,4,0.821,0.425
0,5,0.845,0.782
0,6,0.917,0.601
0,7,0.922,0.596
0,8,0.713,0.729
0,9,0.842,0.198
0,10,0.924,0.434
0,11,0.945,0.427
0,12,0.859,0.748
0,13,0.975,0.777
0,14,0.675,0.545
0,15,0.882,0.663
0,16,0.955,0.391
0,17,0.981,0.765
0,18,0.902,0.753
0,19,0.893,0.737
0,20,0.833,0.705
0,21,0.678,0.134
0,22,0.81,0.874
0,23,0.885,0.344
0,24,0.929,0.649
0,25,0.785,0.665
0,26,0.948,0.693
0,27,0.827,0.746
0,28,0.779,0.588
0,29,0.591,0.258
0,30,0.849,0.31
0,31,0.85,0.467
0,32,0.921,0.603
0,33,0.802,0.735
0,34,0.889,0.539
0,35,0.792,0.627
0,36,0.926,0.783
0,37,0.86,0.261
0,38,0.53,0.358
0,39,0.743,0.751
0,40,0.913,0.434
0,41,0.824,0.586
0,42,0.817,0.506
0,43,0.757,0.462
0,44,0.875,0.522
0,45,0.732,0.387
0,46,0.952,0.686
0,47,0.911,0.429
0,48,0.825,0.412
0,49,0.642,0.37
0,0,0.895,0.59
0,1,0.827,0.966
0,2,0.819,0.525
0,3,0.795,0.414
0,4,0.938,0.444
0,5,0.657,0.79
0,6,0.926,0.565
0,7,0.858,0.31
0,8,0.636,0.124
0,9,0.85,0.275
0,10,0.905,0.606
0,11,0.868,0.482
0,12,0.673,0.174
0,13,0.694,0.442
0,14,0.932,0.464
0,15,0.904,0.651
0,16,0.843,0.732
0,17,0.631,0.194
0,18,0.619,0.483
0,19,0.841,0.407
0,20,0.836,0.715
0,21,0.931,0.588
0,22,0.924,0.567
0,23,0.753,0.478
0,24,0.907,0.434
0,25,0.767,0.59
0,26,0.939,0.467
0,27,0.786,0.4
0,28,0.854,0.495
0,29,0.834,0.363
0,30,0.753,0.284
0,31,0.925,0.788
0,32,0.815,0.549
0,33,0.936,0.761
0,34,0.937,0.427
0,35,0.682,0.474
0,36,0.93,0.515
0,37,0.83,0.707
0,38,0.684,0.506
0,39,0.739,0.434
0,40,0.881,0.359
0,41,0.707,0.298
0,42,0.902,0.692
0,43,0.921,0.626
0,44,0.787,0.388
0,45,0.939,0.529
0,46,0.83,0.609
0,47,0.803,0.624
0,48,0.85,0.583
0,49,0.819,0.762
0,0,0.751,0.472
0,1,0.803,0.435
0,2,0.68,0.415
0,3,0.846,0.236
0,4,0.848,0.476
0,5,0.564,0.219
0,6,0.469,0.37
0,7,0.84,0.133
0,8,0.839,0.118
0,9,0.832,0.638
0,10,0.845,0.783
0,11,0.75,0.331
0,12,0.652,0.412
0,13,0.902,0.543
0,14,0.76,0.786
0,15,0.717,0.176
0,16,0.649,0.742
0,17,0.886,0.523
0,18,0.776,0.559
0,19,0.572,0.484
0,20,0.787,0.351
0,21,0.887,0.753
0,22,0.848,0.588
0,23,0.975,0.777
0,24,0.712,0.437
0,25,0.924,0.434
0,26,0.654,0.237
0,27,0.921,0.663
0,28,0.825,0.656
0,29,0.483,0.448
0,30,0.874,0.482
0,31,0.784,0.38
0,32,0.622,0.223
0,33,0.566,0.218
0,34,0.631,0.425
0,35,0.65,0.605
0,36,0.586,0.642
0,37,0.745,0.829
0,38,0.69,0.497
0,39,0.692,0.578
0,40,0.642,0.226
0,41,0.968,0.306
0,42,0.554,0.349
0,43,0.613,0.0804
0,44,0.479,0.913
0,45,0.592,0.379
0,46,0.62,0.584
0,47,0.814,0.535
0,48,0.431,0.236
0,49,0.601,0.457
0,0,0.649,0.474
0,1,0.529,0.203
0,2,0.762,0.553
0,3,0.431,0.348
0,4,0.557,0.483
0,5,0.528,0.515
0,6,0.653,0.163
0,7,0.559,0.678
0,8,0.613,0.862
0,9,0.446,0.177
0,10,0.719,0.648
0,11,0.986,0.532
0,12,0.495,0.761
0,13,0.622,0.57
0,14,0.73,0.334
0,15,0.972,0.565
0,16,0.504,0.551
0,17,0.651,0.237
0,18,0.427,0.0605
0,19,0.639,0.261
0,20,0.577,0.861
0,21,0.639,0.151
0,22,0.662,0.434
0,23,0.525,0.694
0,24,0.634,0.33
0,25,0.671,0.45
0,26,0.72,0.49
0,27,0.55,0.183
0,28,0.353,0.866
0,29,0.65,0.647
0,30,0.598,0.496
0,31,0.604,0.826
0,32,0.549,0.645
0,33,0.687,0.499
0,34,0.638,0.48
0,35,0.643,0.0397
0,36,0.605,0.409
0,37,0.638,0.147
0,38,0.744,0.277
0,39,0.891,0.799
0,40,0.627,0.689
0,41,0.665,0.486
0,42,0.598,0.504
0,43,0.586,0.196
0,44,0.578,0.851
0,45,0.608,0.263
0,46,0.827,0.418
0,47,0.508,0.457
0,48,0.661,0.694
0,49,0.561,0.449
0,0,0.931,0.172
0,1,0.806,0.112
0,2,0.569,0.44
0,3,0.67,0.845
0,4,0.499,0.511
0,5,0.674,0.667
0,6,0.562,0.532
0,7,0.671,0.27
0,8,0.733,0.797
0,9,0.588,0.513
0,10,0.378,0.497
0,11,0.452,0.532
0,12,0.654,0.455
0,13,0.547,0.695
0,14,0.518,0.277
0,15,0.545,0.234
0,16,0.511,0.351
0,17,0.828,0.786
0,18,0.565,0.599
0,19,0.5,0.433
0,20,0.907,0.561
0,21,0.633,0.452
0,22,0.644,0.363
0,23,0.55,0.464
0,24,0.696,0.522
0,25,0.721,0.894
0,26,0.462,0.702
0,27,0.601,0.525
0,28,0.903,0.564
0,29,0.654,0.299
0,30,0.788,0.228
0,31,0.378,0.497
0,32,0.806,0.112
0,33,0.525,0.694
0,34,0.643,0.0397
0,35,0.788,0.228
0,36,0.719,0.648
0,37,0.814,0.535
0,38,0.435,0.771
0,39,0.756,0.963
0,40,0.831,0.949
0,41,0.501,0.902
0,42,0.799,0.638
0,43,0.235,0.197
0,44,0.633,0.301
0,45,0.522,0.243
0,46,0.852,0.558
0,47,0.914,0.963
0,48,0.888,0.553
0,49,0.801,0.248
0,0,0.894,0.696
0,1,0.787,0.289
0,2,0.776,0.267
0,3,0.856,0.707
0,4,0.927,0.719
0,5,0.833,0.598
0,6,0.941,0.405
0,7,0.866,0.38
0,8,0.191,0.0684
0,9,0.687,0.652
0,10,0.951,0.139
0,11,0.917,0.601
0,12,0.899,0.566
0,13,0.806,0.561
0,14,0.823,0.569
0,15,0.725,0.397
0,16,0.766,0.473
0,17,0.945,0.14
0,18,0.709,0.559
0,19,0.538,0.291
0,20,0.539,0.645
0,21,0.648,0.726
0,22,0.624,0.445
0,23,0.68,0.338
0,24,0.906,0.846
0,25,0.767,0.595
0,26,0.728,0.533
0,27,0.655,0.641
0,28,0.948,0.674
0,29,0.528,0.91
0,30,0.859,0.748
0,31,0.798,0.671
0,32,0.888,0.553
0,33,0.755,0.445
0,34,0.695,0.472
0,35,0.499,0.748
0,36,0.512,0.388
0,37,0.727,0.406
0,38,0.473,0.0692
0,39,0.672,0.558
0,40,0.557,0.331
0,41,0.986,0.532
0,42,0.792,0.671
0,43,0.192,0.193
0,44,0.586,0.443
0,45,0.319,0.493
0,46,0.538,0.296
0,47,0.224,0.0562
0,48,0.634,0.619
0,49,0.493,0.364
0,0,0.168,0.3
0,1,0.683,0.608
0,2,0.98,0.283
0,3,0.896,0.798
0,4,0.314,0.417
0,5,0.567,0.505
0,6,0.864,0.384
0,7,0.692,0.519
0,8,0.856,0.803
0,9,0.711,0.198
0,10,0.497,0.419
0,11,0.885,0.719
0,12,0.812,0.521
0,13,0.662,0.438
0,14,0.979,0.0992
0,15,0.969,0.242
0,16,0.936,0.73
0,17,0.844,0.557
0,18,0.909,0.192
0,19,0.844,0.563
0,20,0.885,0.692
0,21,0.889,0.173
0,22,0.79,0.208
0,23,0.531,0.141
0,24,0.756,0.062
0,25,0.608,0.0876
0,26,0.916,0.803
0,27,0.945,0.399
0,28,0.402,0.0718
0,29,0.737,0.704
0,30,0.739,0.159
0,31,0.706,0.327
0,32,0.737,0.211
0,33,0.799,0.67
0,34,0.639,0.186
0,35,0.671,0.438
0,36,0.914,0.963
0,37,0.76,0.308
0,38,0.755,0.333
0,39,0.792,0.235
0,40,0.748,0.254
0,41,0.798,0.501
0,42,0.754,0.423
0,43,0.491,0.827
0,44,0.833,0.303
0,45,0.761,0.286
0,46,0.716,0.163
0,47,0.184,0.296
0,48,0.491,0.517
0,49,0.857,0.38
0,0,0.235,0.0607
0,1,0.248,0.0778
0,2,0.255,0.0689
0,3,0.293,0.0672
0,4,0.223,0.0413
0,5,0.168,0.0444
0,6,0.249,0.0346
0,7,0.594,0.147
0,8,0.412,0.0369
0,9,0.27,0.0368
0,10,0.274,0.0394
0,11,0.258,0.0529
0,12,0.195,0.0899
0,13,0.497,0.148
0,14,0.719,0.4
0,15,0.306,0.603
0,16,0.948,0.237
0,17,0.57,0.527
0,18,0.265,0.392
0,19,0.548,0.234
0,20,0.35,0.163
0,21,0.378,0.149
0,22,0.915,0.354
0,23,0.61,0.455
0,24,0.437,0.247
0,25,0.118,0.396
0,26,0.589,0.381
0,27,0.517,0.425
0,28,0.266,0.08
0,29,0.524,0.119
0,30,0.836,0.353
0,31,0.653,0.659
0,32,0.259,0.525
0,33,0.922,0.637
0,34,0.926,0.668
0,35,0.815,0.642
0,36,0.824,0.63
0,37,0.883,0.877
0,38,0.839,0.734
0,39,0.455,0.561
0,40,0.903,0.497
0,41,0.332,0.778
0,42,0.829,0.747
0,43,0.713,0.741
0,44,0.799,0.627
0,45,0.722,0.369
0,46,0.639,0.356
0,47,0.478,0.357
0,48,0.876,0.493
0,49,0.521,0.532
